documents__category_group_code,documents__category_group_name,documents__category_name,documents__distance,time,tag,base_score,쇼핑보너스,관광보너스,맛집보너스,score(0~10)
CT1,문화시설,"문화,예술 > 영화,영상 > 영화관",1924,점심,쇼핑,1,1,1,1,1
CE7,카페,음식점 > 카페,16,아침,쇼핑,10,10,10,10,10
FD6,음식점,음식점 > 한식,55,아침,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",151,오전,쇼핑,10,10,10,10,10
CE7,카페,음식점 > 카페,35,오전,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 문화유적 > 고궁,궁",109,오전,쇼핑,10,10,10,10,10
FD6,음식점,음식점 > 한식 > 국수,195,점심,쇼핑,10,10,10,10,10
FD6,음식점,"음식점 > 한식 > 해물,생선 > 회",165,점심,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 테마거리 > 먹자골목",125,점심,쇼핑,10,10,10,10,10
FD6,음식점,"음식점 > 한식 > 육류,고기",258,점심,쇼핑,10,10,10,10,10
FD6,음식점,음식점 > 한식,4,점심,쇼핑,10,10,10,10,10
MT1,대형마트,"가정,생활 > 대형마트",14,오후,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 미술관",220,오후,쇼핑,10,10,10,10,10
CE7,카페,음식점 > 카페,86,오후,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 도보여행",35,오후,쇼핑,10,10,10,10,10
MT1,대형마트,"가정,생활 > 대형마트",7,오후,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 전시관",218,오후,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",118,오후,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 전시관",232,오후,쇼핑,10,10,10,10,10
CE7,카페,음식점 > 카페,166,오후,쇼핑,10,10,10,10,10
CT1,문화시설,"문화,예술 > 문화시설 > 미술관",348,오후,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 계곡",16,저녁,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",165,저녁,쇼핑,10,10,10,10,10
AD5,숙박,여행 > 숙박 > 호텔,58,저녁,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",199,저녁,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",96,저녁,쇼핑,10,10,10,10,10
FD6,음식점,"음식점 > 한식 > 육류,고기",293,저녁,쇼핑,10,10,10,10,10
FD6,음식점,"음식점 > 일식 > 돈까스,우동",140,저녁,쇼핑,10,10,10,10,10
FD6,음식점,음식점 > 뷔페,375,저녁,쇼핑,10,10,10,10,10
FD6,음식점,음식점 > 한식 > 한정식,126,저녁,쇼핑,10,10,10,10,10
AD5,숙박,여행 > 숙박 > 호텔,18,밤,쇼핑,10,10,10,10,10
AD5,숙박,여행 > 숙박 > 호텔,713,밤,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",676,밤,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",595,밤,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",595,밤,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",983,밤,쇼핑,10,10,10,10,10
AD5,숙박,"여행 > 숙박 > 여관,모텔",652,밤,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 테마거리 > 먹자골목",86,밤,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 문화유적 > 고궁,궁",236,밤,쇼핑,10,10,10,10,10
AD5,숙박,여행 > 숙박 > 호텔,283,밤,쇼핑,10,10,10,10,10
AD5,숙박,여행 > 숙박 > 호텔,188,밤,쇼핑,10,10,10,10,10
CE7,카페,음식점 > 카페,71,밤,쇼핑,10,10,10,10,10
AT4,관광명소,"여행 > 관광,명소 > 산",733,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 테마거리 > 카페거리",478,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 수목원,식물원",229,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 전망대",125,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 산",205,아침,쇼핑,9,9,9,9,9
FD6,음식점,음식점 > 한식 > 한정식,233,아침,쇼핑,9,9,9,9,9
CE7,카페,음식점 > 카페,22,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 문화유적 > 고궁,궁",165,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 테마거리",202,아침,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 산",223,오전,쇼핑,9,9,9,9,9
CT1,문화시설,"문화,예술 > 문화시설 > 문화원",452,오전,쇼핑,9,9,9,9,9
CE7,카페,음식점 > 카페,103,오전,쇼핑,9,9,9,9,9
CT1,문화시설,"문화,예술 > 문화시설 > 전시관",180,오전,쇼핑,9,9,9,9,9
CE7,카페,음식점 > 카페,190,오전,쇼핑,9,9,9,9,9
MT1,대형마트,"가정,생활 > 대형마트",77,점심,쇼핑,9,10,9,9,10
FD6,음식점,"음식점 > 한식 > 육류,고기 > 갈비",437,점심,쇼핑,9,9,9,9,9
AT4,관광명소,"여행 > 관광,명소 > 수목원,식물원",1062,오후,쇼핑,9,9,9,9,9
MT1,대형마트,"가정,생활 > 대형마트",494,오후,쇼핑,9,10,9,9,10
MT1,대형마트,"가정,생활 > 대형마트",243,오후,쇼핑,9,10,9,9,10
MT1,대형마트,"가정,생활 > 대형마트",561,오후,쇼핑,9,10,9,9,10
CT1,문화시설,"문화,예술 > 문화시설 > 공연장,연극극장",558,오후,쇼핑,9,9,9,9,9
